SampleID	original_sample_name	plate_label	timepoint	time_hours	Well	composition	type	adjustment	PMA-tx	PMA_time
#q2:types	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical
X3x.cutoff.noPsim.1.t1	3x_cutoff_noPsim_1_t1	<24hrs	t1	16	A2	3x_cutoff_noPsim_1	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.2.t1	3x_cutoff_noPsim_2_t1	<24hrs	t1	16	B2	3x_cutoff_noPsim_2	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.3.t1	3x_cutoff_noPsim_3_t1	<24hrs	t1	16	C2	3x_cutoff_noPsim_3	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.4.t1	3x_cutoff_noPsim_4_t1	<24hrs	t1	16	D2	3x_cutoff_noPsim_4	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.5.t1	3x_cutoff_noPsim_5_t1	<24hrs	t1	16	E2	3x_cutoff_noPsim_5	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.6.t1	3x_cutoff_noPsim_6_t1	<24hrs	t1	16	F2	3x_cutoff_noPsim_6	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.7.t1	3x_cutoff_noPsim_7_t1	<24hrs	t1	16	G2	3x_cutoff_noPsim_7	3x_cutoff	cutoff	NO	t1_NO
X3x.cutoff.noPsim.8.t1	3x_cutoff_noPsim_8_t1	<24hrs	t1	16	H2	3x_cutoff_noPsim_8	3x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.1.t1	2x_cutoff_noPsim_1_t1	<24hrs	t1	16	A3	2x_cutoff_noPsim_1	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.2.t1	2x_cutoff_noPsim_2_t1	<24hrs	t1	16	B3	2x_cutoff_noPsim_2	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.3.t1	2x_cutoff_noPsim_3_t1	<24hrs	t1	16	C3	2x_cutoff_noPsim_3	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.4.t1	2x_cutoff_noPsim_4_t1	<24hrs	t1	16	D3	2x_cutoff_noPsim_4	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.5.t1	2x_cutoff_noPsim_5_t1	<24hrs	t1	16	E3	2x_cutoff_noPsim_5	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.6.t1	2x_cutoff_noPsim_6_t1	<24hrs	t1	16	F3	2x_cutoff_noPsim_6	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.7.t1	2x_cutoff_noPsim_7_t1	<24hrs	t1	16	G3	2x_cutoff_noPsim_7	2x_cutoff	cutoff	NO	t1_NO
X2x.cutoff.noPsim.8.t1	2x_cutoff_noPsim_8_t1	<24hrs	t1	16	H3	2x_cutoff_noPsim_8	2x_cutoff	cutoff	NO	t1_NO
rel.abu.noPsim.exp.noPsim.1.t1	rel_abu_noPsim_exp_noPsim_1_t1	<24hrs	t1	16	A4	rel_abu_noPsim_exp_noPsim_1	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.exp.noPsim.2.t1	rel_abu_noPsim_exp_noPsim_2_t1	<24hrs	t1	16	B4	rel_abu_noPsim_exp_noPsim_2	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.exp.noPsim.3.t1	rel_abu_noPsim_exp_noPsim_3_t1	<24hrs	t1	16	C4	rel_abu_noPsim_exp_noPsim_3	rel_abu_exp	rel_abu	NO	t1_NO
