#SampleID	Combo	Description	Category
#q2:types	numeric	categorical	categorical
A1	11	Top 9 fast-growers	Base top
A10	2	18 - Burk	Remove 1
A11	1	18 strains	All strains
A12	0	negative	negative
A2	10	Bottom 10 slow-growers	Base bottom
A3	9	Middle 7 growers	Base middle
A4	8	Base bottom + Methylo	Remove 4+
A5	7	Base bottom + Methylo + Bosea	Remove 4+
A6	6	Base bottom + Methylo + Bosea + Paeni	Remove 4+
A7	5	18 - Burk + Bac + Lyso + Arthro	Remove 4+
A8	4	18 - Burk + Bac + Lyso	Remove 3
A9	3	18 - Burk + Bac	Remove 2
B1	11	Top 9 fast-growers	Base top
B10	2	18 - Burk	Remove 1
B11	1	18 strains	All strains
B12	0	negative	negative
B2	10	Bottom 10 slow-growers	Base bottom
B3	9	Middle 7 growers	Base middle
B4	8	Base bottom + Methylo	Remove 4+
B5	7	Base bottom + Methylo + Bosea	Remove 4+
B6	6	Base bottom + Methylo + Bosea + Paeni	Remove 4+
B7	5	18 - Burk + Bac + Lyso + Arthro	Remove 4+
B8	4	18 - Burk + Bac + Lyso	Remove 3
B9	3	18 - Burk + Bac	Remove 2
C1	11	Top 9 fast-growers	Base top
C10	2	18 - Burk	Remove 1
C11	1	18 strains	All strains
C12	0	negative	negative
C2	10	Bottom 10 slow-growers	Base bottom
C3	9	Middle 7 growers	Base middle
C4	8	Base bottom + Methylo	Remove 4+
C5	7	Base bottom + Methylo + Bosea	Remove 4+
C6	6	Base bottom + Methylo + Bosea + Paeni	Remove 4+
C7	5	18 - Burk + Bac + Lyso + Arthro	Remove 4+
C8	4	18 - Burk + Bac + Lyso	Remove 3
C9	3	18 - Burk + Bac	Remove 2
D1	11	Top 9 fast-growers	Base top
D10	2	18 - Burk	Remove 1
D11	1	18 strains	All strains
D12	0	negative	negative
D2	10	Bottom 10 slow-growers	Base bottom
D3	9	Middle 7 growers	Base middle
D4	8	Base bottom + Methylo	Remove 4+
D5	7	Base bottom + Methylo + Bosea	Remove 4+
D6	6	Base bottom + Methylo + Bosea + Paeni	Remove 4+
D7	5	18 - Burk + Bac + Lyso + Arthro	Remove 4+
D8	4	18 - Burk + Bac + Lyso	Remove 3
D9	3	18 - Burk + Bac	Remove 2
E1	0	negative	negative
E10	14	18 - Chitino	Remove 1
E11	13	18 - Lyso	Remove 1
E12	12	18 - Bac	Remove 1
E2	22	18 - Burk + Lyso + Chitino	Remove 3
E3	21	18 - Burk + Bac + Chitino	Remove 3
E4	20	18 - Burk + Chitino	Remove 2
E5	19	18 - Lyso + Burk	Remove 2
E6	18	18 - Lyso + Chitino	Remove 2
E7	17	18 - Bac + Chitino	Remove 2
E8	16	18 - Lyso + Bac	Remove 2
E9	15	18 - Burk + Bac	Remove 2
F1	0	negative	negative
F10	14	18 - Chitino	Remove 1
F11	13	18 - Lyso	Remove 1
F12	12	18 - Bac	Remove 1
F2	22	18 - Burk + Lyso + Chitino	Remove 3
F3	21	18 - Burk + Bac + Chitino	Remove 3
F4	20	18 - Burk + Chitino	Remove 2
F5	19	18 - Lyso + Burk	Remove 2
F6	18	18 - Lyso + Chitino	Remove 2
F7	17	18 - Bac + Chitino	Remove 2
F8	16	18 - Lyso + Bac	Remove 2
F9	15	18 - Burk + Bac	Remove 2
G1	0	negative	negative
G10	14	18 - Chitino	Remove 1
G11	13	18 - Lyso	Remove 1
G12	12	18 - Bac	Remove 1
G2	22	18 - Burk + Lyso + Chitino	Remove 3
G3	21	18 - Burk + Bac + Chitino	Remove 3
G4	20	18 - Burk + Chitino	Remove 2
G5	19	18 - Lyso + Burk	Remove 2
G6	18	18 - Lyso + Chitino	Remove 2
G7	17	18 - Bac + Chitino	Remove 2
G8	16	18 - Lyso + Bac	Remove 2
G9	15	18 - Burk + Bac	Remove 2
H1	0	negative	negative
H10	14	18 - Chitino	Remove 1
H11	13	18 - Lyso	Remove 1
H12	12	18 - Bac	Remove 1
H2	22	18 - Burk + Lyso + Chitino	Remove 3
H3	21	18 - Burk + Bac + Chitino	Remove 3
H4	20	18 - Burk + Chitino	Remove 2
H5	19	18 - Lyso + Burk	Remove 2
H6	18	18 - Lyso + Chitino	Remove 2
H7	17	18 - Bac + Chitino	Remove 2
H8	16	18 - Lyso + Bac	Remove 2
H9	15	18 - Burk + Bac	Remove 2
