SampleID	old_name	Well	Plate	composition	replicate	Media	contains_Psim	type	adjustment	timepoint
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
2x.cutoff.day0.1	2x_cutoff.day0.1	E1	1	2x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day0
2x.cutoff.day0.2	2x_cutoff.day0.2	F1	1	2x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day0
2x.cutoff.day0.3	2x_cutoff.day0.3	G1	1	2x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day0
2x.cutoff.day0.4	2x_cutoff.day0.4	H1	1	2x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day0
2x.cutoff.noPsim.day0.1	2x_cutoff_noPsim.day0.1	A2	1	2x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day0
2x.cutoff.noPsim.day0.2	2x_cutoff_noPsim.day0.2	B2	1	2x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day0
2x.cutoff.noPsim.day0.3	2x_cutoff_noPsim.day0.3	C2	1	2x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day0
2x.cutoff.noPsim.day0.4	2x_cutoff_noPsim.day0.4	D2	1	2x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day0
3x.cutoff.day0.1	3x_cutoff.day0.1	E2	1	3x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day0
3x.cutoff.day0.2	3x_cutoff.day0.2	F2	1	3x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day0
3x.cutoff.day0.3	3x_cutoff.day0.3	G2	1	3x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day0
3x.cutoff.day0.4	3x_cutoff.day0.4	H2	1	3x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day0
3x.cutoff.noPsim.day0.1	3x_cutoff_noPsim.day0.1	A3	1	3x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day0
3x.cutoff.noPsim.day0.2	3x_cutoff_noPsim.day0.2	B3	1	3x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day0
3x.cutoff.noPsim.day0.3	3x_cutoff_noPsim.day0.3	C3	1	3x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day0
3x.cutoff.noPsim.day0.4	3x_cutoff_noPsim.day0.4	D3	1	3x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day0
2.everyone.day0.1	2_everyone.day0.1	E3	1	2_everyone	1	0.1x_R2A	yes	equal	equal	day0
2.everyone.day0.2	2_everyone.day0.2	F3	1	2_everyone	2	0.1x_R2A	yes	equal	equal	day0
2.everyone.day0.3	2_everyone.day0.3	G3	1	2_everyone	3	0.1x_R2A	yes	equal	equal	day0
2.everyone.day0.4	2_everyone.day0.4	H3	1	2_everyone	4	0.1x_R2A	yes	equal	equal	day0
2.everyone.noPsim.day0.1	2_everyone_noPsim.day0.1	A4	1	2_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day0
2.everyone.noPsim.day0.2	2_everyone_noPsim.day0.2	B4	1	2_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day0
2.everyone.noPsim.day0.3	2_everyone_noPsim.day0.3	C4	1	2_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day0
2.everyone.noPsim.day0.4	2_everyone_noPsim.day0.4	D4	1	2_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day0
20.everyone.day0.1	20_everyone.day0.1	E4	1	20_everyone	1	0.1x_R2A	yes	equal	equal	day0
20.everyone.day0.2	20_everyone.day0.2	F4	1	20_everyone	2	0.1x_R2A	yes	equal	equal	day0
20.everyone.day0.3	20_everyone.day0.3	G4	1	20_everyone	3	0.1x_R2A	yes	equal	equal	day0
20.everyone.day0.4	20_everyone.day0.4	H4	1	20_everyone	4	0.1x_R2A	yes	equal	equal	day0
20.everyone.noPsim.day0.1	20_everyone_noPsim.day0.1	A5	1	20_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day0
20.everyone.noPsim.day0.2	20_everyone_noPsim.day0.2	B5	1	20_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day0
20.everyone.noPsim.day0.3	20_everyone_noPsim.day0.3	C5	1	20_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day0
20.everyone.noPsim.day0.4	20_everyone_noPsim.day0.4	D5	1	20_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day0
200.everyone.day0.1	200_everyone.day0.1	E5	1	200_everyone	1	0.1x_R2A	yes	equal	equal	day0
200.everyone.day0.2	200_everyone.day0.2	F5	1	200_everyone	2	0.1x_R2A	yes	equal	equal	day0
200.everyone.day0.3	200_everyone.day0.3	G5	1	200_everyone	3	0.1x_R2A	yes	equal	equal	day0
200.everyone.day0.4	200_everyone.day0.4	H5	1	200_everyone	4	0.1x_R2A	yes	equal	equal	day0
200.everyone.noPsim.day0.1	200_everyone_noPsim.day0.1	A6	1	200_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day0
200.everyone.noPsim.day0.2	200_everyone_noPsim.day0.2	B6	1	200_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day0
200.everyone.noPsim.day0.3	200_everyone_noPsim.day0.3	C6	1	200_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day0
