SampleID	old_name	Media	type	timepoint
#q2:types	categorical	categorical	categorical	numeric
D0	D0	Unfrozen	Unfrozen	0
D1.unfrzn.R2A	D1_unfrzn_R2A	R2A	Unfrozen	1
D1.unfrzn.MS	D1_unfrzn_MS	MS	Unfrozen	1
D1.unfrzn.R2AMS	D1_unfrzn_R2AMS	MS+R2A	Unfrozen	1
D1.unfrzn.PBS	D1_unfrzn_PBS	PBS+sucrose	Unfrozen	1
D2.unfrzn.R2A	D2_unfrzn_R2A	R2A	Unfrozen	2
D2.unfrzn.MS	D2_unfrzn_MS	MS	Unfrozen	2
D2.unfrzn.R2AMS	D2_unfrzn_R2AMS	MS+R2A	Unfrozen	2
D2.unfrzn.PBS	D2_unfrzn_PBS	PBS+sucrose	Unfrozen	2
D3.unfrzn.R2A	D3_unfrzn_R2A	R2A	Unfrozen	3
D3.unfrzn.MS	D3_unfrzn_MS	MS	Unfrozen	3
D3.unfrzn.R2AMS	D3_unfrzn_R2AMS	MS+R2A	Unfrozen	3
D3.unfrzn.PBS	D3_unfrzn_PBS	PBS+sucrose	Unfrozen	3
D1.gly.R2A	D1_gly_R2A	R2A	Glycerol	1
D1.gly.MS	D1_gly_MS	MS	Glycerol	1
D1.gly.R2AMS	D1_gly_R2AMS	MS+R2A	Glycerol	1
D1.gly.PBS	D1_gly_PBS	PBS+sucrose	Glycerol	1
D1.dmso.R2A	D1_dmso_R2A	R2A	DMSO	1
D1.dmso.MS	D1_dmso_MS	MS	DMSO	1
D1.dmso.R2AMS	D1_dmso_R2AMS	MS+R2A	DMSO	1
D1.dmso.PBS	D1_dmso_PBS	PBS+sucrose	DMSO	1
D1.lyoph.R2A	D1_lyoph_R2A	R2A	Lyophilization	1
D1.lyoph.MS	D1_lyoph_MS	MS	Lyophilization	1
D1.lyoph.R2AMS	D1_lyoph_R2AMS	MS+R2A	Lyophilization	1
D1.lyoph.PBS	D1_lyoph_PBS	PBS+sucrose	Lyophilization	1
D2.gly.R2A	D2_gly_R2A	R2A	Glycerol	2
D2.gly.MS	D2_gly_MS	MS	Glycerol	2
D2.gly.R2AMS	D2_gly_R2AMS	MS+R2A	Glycerol	2
D2.gly.PBS	D2_gly_PBS	PBS+sucrose	Glycerol	2
D2.dmso.R2A	D2_dmso_R2A	R2A	DMSO	2
D2.dmso.MS	D2_dmso_MS	MS	DMSO	2
D2.dmso.R2AMS	D2_dmso_R2AMS	MS+R2A	DMSO	2
D2.dmso.PBS	D2_dmso_PBS	PBS+sucrose	DMSO	2
D2.lyoph.R2A	D2_lyoph_R2A	R2A	Lyophilization	2
D2.lyoph.MS	D2_lyoph_MS	MS	Lyophilization	2
D2.lyoph.R2AMS	D2_lyoph_R2AMS	MS+R2A	Lyophilization	2
D2.lyoph.PBS	D2_lyoph_PBS	PBS+sucrose	Lyophilization	2
D3.gly.R2A	D3_gly_R2A	R2A	Glycerol	3
D3.gly.MS	D3_gly_MS	MS	Glycerol	3
D3.gly.R2AMS	D3_gly_R2AMS	MS+R2A	Glycerol	3
D3.gly.PBS	D3_gly_PBS	PBS+sucrose	Glycerol	3
D3.dmso.R2A	D3_dmso_R2A	R2A	DMSO	3
D3.dmso.MS	D3_dmso_MS	MS	DMSO	3
D3.dmso.R2AMS	D3_dmso_R2AMS	MS+R2A	DMSO	3
D3.dmso.PBS	D3_dmso_PBS	PBS+sucrose	DMSO	3
D3.lyoph.R2A	D3_lyoph_R2A	R2A	Lyophilization	3
D3.lyoph.MS	D3_lyoph_MS	MS	Lyophilization	3
D3.lyoph.R2AMS	D3_lyoph_R2AMS	MS+R2A	Lyophilization	3
D3.lyoph.PBS	D3_lyoph_PBS	PBS+sucrose	Lyophilization	3
