,Method,Person,Replicate
K.d3.1_S5_L00,Hand-assembled,Person 2,1
K.d3.2_S6_L00,Hand-assembled,Person 2,2
K.d3.3_S7_L00,Hand-assembled,Person 2,3
K.d3.4_S8_L00,Hand-assembled,Person 2,4
N.d3.1_S1_L00,Hand-assembled,Person 3,1
N.d3.2_S2_L00,Hand-assembled,Person 3,2
N.d3.3_S3_L00,Hand-assembled,Person 3,3
N.d3.4_S4_L00,Hand-assembled,Person 3,4
O.d3.1_S9_L00,Hand-assembled,Person 4,1
O.d3.2_S10_L0,Hand-assembled,Person 4,2
O.d3.3_S11_L0,Hand-assembled,Person 4,3
O.d3.4_S12_L0,Hand-assembled,Person 4,4
HvM_human_1_S,Hand-assembled,Person 1,1
HvM_human_2_S,Hand-assembled,Person 1,2
HvM_human_3_S,Hand-assembled,Person 1,3
HvM_human_4_S,Hand-assembled,Person 1,4
HvM_human_5_S,Hand-assembled,Person 1,5
HvM_human_6_S,Hand-assembled,Person 1,6
HvM_human_7_S,Hand-assembled,Person 1,7
HvM_human_8_S,Hand-assembled,Person 1,8
HvM_machine_1,Machine-assembled,Machine,1
HvM_machine_2,Machine-assembled,Machine,2
HvM_machine_3,Machine-assembled,Machine,3
HvM_machine_4,Machine-assembled,Machine,4
HvM_machine_5,Machine-assembled,Machine,5
HvM_machine_6,Machine-assembled,Machine,6
HvM_machine_7,Machine-assembled,Machine,7
HvM_machine_8,Machine-assembled,Machine,8
