SampleID	type	experiment	Media_dilution	Replicate	Row	Column
Neg.1	control	control	control	Neg	1	1
R2A.1x.1	culture	media_conc	1x	R2A.1x	1	2
R2A.0.2x.1	culture	media_conc	0.2x	R2A.0.2x	1	3
R2A.0.1x.1	culture	media_conc	0.1x	R2A.0.1x	1	4
Neg.2	control	control	control	Neg	2	1
R2A.1x.2	culture	media_conc	1x	R2A.1x	2	2
R2A.0.2x.2	culture	media_conc	0.2x	R2A.0.2x	2	3
R2A.0.1x.2	culture	media_conc	0.1x	R2A.0.1x	2	4
Neg.3	control	control	control	Neg	3	1
R2A.1x.3	culture	media_conc	1x	R2A.1x	3	2
R2A.0.2x.3	culture	media_conc	0.2x	R2A.0.2x	3	3
R2A.0.1x.3	culture	media_conc	0.1x	R2A.0.1x	3	4
Neg.4	control	control	control	Neg	4	1
R2A.1x.4	culture	media_conc	1x	R2A.1x	4	2
R2A.0.2x.4	culture	media_conc	0.2x	R2A.0.2x	4	3
R2A.0.1x.4	culture	media_conc	0.1x	R2A.0.1x	4	4
Neg.5	control	control	control	Neg	5	1
R2A.1x.5	culture	media_conc	1x	R2A.1x	5	2
R2A.0.2x.5	culture	media_conc	0.2x	R2A.0.2x	5	3
R2A.0.1x.5	culture	media_conc	0.1x	R2A.0.1x	5	4
Neg.6	control	control	control	Neg	6	1
R2A.1x.6	culture	media_conc	1x	R2A.1x	6	2
R2A.0.2x.6	culture	media_conc	0.2x	R2A.0.2x	6	3
R2A.0.1x.6	culture	media_conc	0.1x	R2A.0.1x	6	4
Neg.7	control	control	control	Neg	7	1
R2A.1x.7	culture	media_conc	1x	R2A.1x	7	2
R2A.0.2x.7	culture	media_conc	0.2x	R2A.0.2x	7	3
R2A.0.1x.7	culture	media_conc	0.1x	R2A.0.1x	7	4
Neg.8	control	control	control	Neg	8	1
R2A.1x.8	culture	media_conc	1x	R2A.1x	8	2
R2A.0.2x.8	culture	media_conc	0.2x	R2A.0.2x	8	3
R2A.0.1x.8	culture	media_conc	0.1x	R2A.0.1x	8	4
