SampleID	Condition	Pseudomonas	Con_Pseudo
#q2:types	categorical	categorical	categorical
Inoc-No-Ps	innoculum	no	innoculum_noP
Control-A	control	no	control
Control-B	control	no	control
Inoc-Ps	innoculum	yes	innoculum_yesP
Ps-B	community	yes	community_yesP
Ps-D	community	yes	community_yesP
Ps-C	community	yes	community_yesP
Ps-E	community	yes	community_yesP
No-Ps-B	community	no	community_noP
Control-C	control	no	control
No-Ps-D	community	no	community_noP
Neg-Control	negative	no	negative
No-Ps-C	community	no	community_noP
No-Ps-E	community	no	community_noP
No-Ps-A	community	no	community_noP
